Measures
atan2 beta 142.696054 val :0.000000 
atan2 beta 141.009008 val :0.000000 
atan2 beta 139.398708 val :0.000000 
atan2 beta 137.862408 val :0.000000 
atan2 beta 136.397183 val :0.000000 
atan2 beta 135.000002 val :0.000000 
atan2 beta 133.667782 val :0.000000 
atan2 beta 132.397440 val :0.000000 
atan2 beta 131.185927 val :0.000000 
atan2 beta 130.030261 val :0.000000 
atan2 beta -128.659810 val :0.000000 
atan2 beta -129.805573 val :0.000000 
atan2 beta -131.009089 val :0.000000 
atan2 beta -132.273691 val :0.000000 
atan2 beta -133.602821 val :0.000000 
atan2 beta -135.000002 val :0.000000 
atan2 beta -136.468803 val :0.000000 
atan2 beta -138.012790 val :0.000000 
atan2 beta -139.635466 val :0.000000 
atan2 beta -141.340194 val :0.000000 
atan2 beta -143.130105 val :0.000000 
atan2 beta -145.007982 val :0.000000 
atan2 beta -146.976135 val :0.000000 
atan2 beta -149.036246 val :0.000000 
atan2 beta -151.189209 val :0.000000 
atan2 beta -153.434951 val :0.000000 
atan2 beta -155.772257 val :0.000000 
atan2 beta -158.198593 val :0.000000 
atan2 beta -160.709957 val :0.000000 
atan2 beta -163.300759 val :0.000000 
atan2 beta -165.963759 val :0.000000 
atan2 beta -168.690070 val :0.000000 
atan2 beta -171.469237 val :0.000000 
atan2 beta -174.289410 val :0.000000 
atan2 beta -177.137598 val :0.000000 
atan2 beta 180.000003 val :0.000000 
atan2 beta 177.137598 val :0.000000 
atan2 beta 174.289410 val :0.000000 
atan2 beta 171.469237 val :0.000000 
atan2 beta 168.690070 val :0.000000 
atan2 beta 165.963759 val :0.000000 
atan2 beta 163.300759 val :0.000000 
atan2 beta 160.709957 val :0.000000 
atan2 beta 158.198593 val :0.000000 
atan2 beta 155.772257 val :0.000000 
atan2 beta 153.434951 val :0.000000 
atan2 beta 151.189209 val :0.000000 
atan2 beta 149.036246 val :0.000000 
atan2 beta 146.976135 val :0.000000 
atan2 beta 145.007982 val :0.000000 
atan2 beta 143.130105 val :0.000000 
atan2 beta 141.340194 val :0.000000 
atan2 beta 139.635466 val :0.000000 
atan2 beta 138.012790 val :0.000000 
atan2 beta 136.468803 val :0.000000 
atan2 beta 135.000002 val :0.000000 
atan2 beta 133.602821 val :0.000000 
atan2 beta 132.273691 val :0.000000 
atan2 beta 131.009089 val :0.000000 
atan2 beta 129.805573 val :0.000000 
atan2 beta 128.659810 val :0.000000 
atan2 beta -127.234836 val :0.000000 
atan2 beta -128.367488 val :0.000000 
atan2 beta -129.559670 val :0.000000 
atan2 beta -130.815086 val :0.000000 
atan2 beta -132.137597 val :0.000000 
atan2 beta -133.531202 val :0.000000 
atan2 beta -135.000002 val :0.000000 
atan2 beta -136.548160 val :0.000000 
atan2 beta -138.179832 val :0.000000 
atan2 beta -139.899095 val :0.000000 
atan2 beta -141.709839 val :0.000000 
atan2 beta -143.615651 val :0.000000 
atan2 beta -145.619658 val :0.000000 
atan2 beta -147.724358 val :0.000000 
atan2 beta -149.931420 val :0.000000 
atan2 beta -152.241462 val :0.000000 
atan2 beta -154.653827 val :0.000000 
atan2 beta -157.166349 val :0.000000 
atan2 beta -159.775143 val :0.000000 
atan2 beta -162.474434 val :0.000000 
atan2 beta -165.256440 val :0.000000 
atan2 beta -168.111345 val :0.000000 
atan2 beta -171.027376 val :0.000000 
atan2 beta -173.990997 val :0.000000 
atan2 beta -176.987216 val :0.000000 
atan2 beta 180.000003 val :0.000000 
atan2 beta 176.987216 val :0.000000 
atan2 beta 173.990997 val :0.000000 
atan2 beta 171.027376 val :0.000000 
atan2 beta 168.111345 val :0.000000 
atan2 beta 165.256440 val :0.000000 
atan2 beta 162.474434 val :0.000000 
atan2 beta 159.775143 val :0.000000 
atan2 beta 157.166349 val :0.000000 
atan2 beta 154.653827 val :0.000000 
atan2 beta 152.241462 val :0.000000 
atan2 beta 149.931420 val :0.000000 
atan2 beta 147.724358 val :0.000000 
atan2 beta 145.619658 val :0.000000 
atan2 beta 143.615651 val :0.000000 
atan2 beta 141.709839 val :0.000000 
atan2 beta 139.899095 val :0.000000 
atan2 beta 138.179832 val :0.000000 
atan2 beta 136.548160 val :0.000000 
atan2 beta 135.000002 val :0.000000 
atan2 beta 133.531202 val :0.000000 
atan2 beta 132.137597 val :0.000000 
atan2 beta 130.815086 val :0.000000 
atan2 beta 129.559670 val :0.000000 
atan2 beta 128.367488 val :0.000000 
atan2 beta 127.234836 val :0.000000 
atan2 beta -125.753889 val :0.000000 
atan2 beta -126.869900 val :0.000000 
atan2 beta -128.047045 val :0.000000 
atan2 beta -129.289409 val :0.000000 
atan2 beta -130.601297 val :0.000000 
atan2 beta -131.987215 val :0.000000 
atan2 beta -133.451845 val :0.000000 
atan2 beta -135.000002 val :0.000000 
atan2 beta -136.636579 val :0.000000 
atan2 beta -138.366463 val :0.000000 
atan2 beta -140.194431 val :0.000000 
atan2 beta -142.125019 val :0.000000 
atan2 beta -144.162350 val :0.000000 
atan2 beta -146.309935 val :0.000000 
atan2 beta -148.570437 val :0.000000 
atan2 beta -150.945398 val :0.000000 
atan2 beta -153.434951 val :0.000000 
atan2 beta -156.037514 val :0.000000 
atan2 beta -158.749497 val :0.000000 
atan2 beta -161.565054 val :0.000000 
atan2 beta -164.475892 val :0.000000 
atan2 beta -167.471195 val :0.000000 
atan2 beta -170.537681 val :0.000000 
atan2 beta -173.659811 val :0.000000 
atan2 beta -176.820173 val :0.000000 
atan2 beta 180.000003 val :0.000000 
atan2 beta 176.820173 val :0.000000 
atan2 beta 173.659811 val :0.000000 
atan2 beta 170.537681 val :0.000000 
atan2 beta 167.471195 val :0.000000 
atan2 beta 164.475892 val :0.000000 
atan2 beta 161.565054 val :0.000000 
atan2 beta 158.749497 val :0.000000 
atan2 beta 156.037514 val :0.000000 
atan2 beta 153.434951 val :0.000000 
atan2 beta 150.945398 val :0.000000 
atan2 beta 148.570437 val :0.000000 
atan2 beta 146.309935 val :0.000000 
atan2 beta 144.162350 val :0.000000 
atan2 beta 142.125019 val :0.000000 
atan2 beta 140.194431 val :0.000000 
atan2 beta 138.366463 val :0.000000 
atan2 beta 136.636579 val :0.000000 
atan2 beta 135.000002 val :0.000000 
atan2 beta 133.451845 val :0.000000 
atan2 beta 131.987215 val :0.000000 
atan2 beta 130.601297 val :0.000000 
atan2 beta 129.289409 val :0.000000 
atan2 beta 128.047045 val :0.000000 
